# 2016 8 3 7 36 5.500000 72.790000 127.098000 10.8000 0.000000 0.000000 0.000000 0.000000 1
SI.623  140.700  1.00 S
SI.621  126.500  1.00 P
SI.621  147.000  1.00 S
# 2016 8 20 0 34 1.200000 71.990000 129.901000 5.0000 0.000000 0.000000 0.000000 0.000000 36
SI.629  144.800  1.00 P
SI.629  156.100  1.00 S
SI.627  146.800  1.00 P
SI.627  159.600  1.00 S
SI.628  147.200  1.00 P
SI.628  160.300  1.00 S
SI.624  152.300  1.00 P
SI.624  168.900  1.00 S
# 2016 8 20 0 35 1.800000 72.010000 129.652000 17.7000 0.000000 0.000000 0.000000 0.000000 37
SI.627   86.300  1.00 P
SI.627   98.200  1.00 S
SI.628   86.900  1.00 P
SI.628   99.100  1.00 S
SI.625   91.400  1.00 P
SI.625  106.900  1.00 S
SI.626   91.700  1.00 P
SI.626  107.300  1.00 S
SI.624   91.700  1.00 P
SI.624  107.400  1.00 S
# 2016 8 20 0 51 1.600000 72.748000 130.742000 15.6000 0.000000 0.000000 0.000000 0.000000 38
SI.626  103.100  1.00 P
SI.626  125.300  1.00 S
# 2016 8 20 3 8 4.400000 72.957000 123.731000 19.7000 0.000000 0.000000 0.000000 0.000000 39
SI.620  107.200  1.00 P
SI.620  112.800  1.00 S
SI.622  113.400  1.00 P
SI.622  123.400  1.00 S
SI.621  115.700  1.00 P
SI.621  127.700  1.00 S
SI.623  116.200  1.00 P
SI.623  128.900  1.00 S
SI.624  116.700  1.00 P
SI.624  129.100  1.00 S
# 2016 8 20 6 29 3.100000 71.962000 129.755000 25.1000 0.000000 0.000000 0.000000 0.000000 40
SI.629  109.300  1.00 P
SI.629  120.200  1.00 S
SI.627  111.100  1.00 P
SI.627  123.400  1.00 S
SI.628  111.700  1.00 P
SI.628  124.500  1.00 S
# 2016 8 20 7 35 1.600000 72.390000 126.375000 16.4000 0.000000 0.000000 0.000000 0.000000 41
SI.624   75.200  1.00 P
SI.624   77.500  1.00 S
SI.623   76.500  1.00 P
SI.623   80.000  1.00 S
SI.625   77.000  1.00 P
SI.625   81.000  1.00 S
SI.628   77.100  1.00 P
SI.628   81.000  1.00 S
SI.626   81.800  1.00 P
SI.626   89.100  1.00 S
# 2016 8 20 9 52 4.000000 72.121000 127.639000 13.5000 0.000000 0.000000 0.000000 0.000000 42
SI.627  124.300  1.00 P
SI.627  127.700  1.00 S
SI.630  124.600  1.00 P
SI.630  128.100  1.00 S
SI.628  126.300  1.00 P
SI.628  131.000  1.00 S
# 2016 8 20 15 5 1.700000 71.938000 129.795000 11.0000 0.000000 0.000000 0.000000 0.000000 43
SI.632   81.800  1.00 P
SI.632   88.400  1.00 S
SI.630   82.400  1.00 P
SI.630   89.700  1.00 S
SI.627   90.800  1.00 P
SI.627  103.100  1.00 S
SI.626   95.500  1.00 P
SI.626  111.400  1.00 S
SI.625   95.900  1.00 P
SI.625  111.500  1.00 S
SI.624   95.800  1.00 P
SI.624  112.100  1.00 S
SI.623   98.200  1.00 P
SI.623  115.600  1.00 S
SI.622  100.500  1.00 P
SI.622  119.800  1.00 S
SI.621  101.700  1.00 P
SI.621  122.400  1.00 S
# 2016 8 20 15 7 5.100000 71.872000 129.608000 24.6000 0.000000 0.000000 0.000000 0.000000 44
SI.632  115.400  1.00 P
SI.632  121.100  1.00 S
SI.630  117.200  1.00 P
SI.630  124.100  1.00 S
SI.627  124.200  1.00 P
SI.627  136.200  1.00 S
SI.628  124.900  1.00 P
SI.628  137.400  1.00 S
# 2016 8 20 19 3 4.700000 72.348000 127.189000 23.8000 0.000000 0.000000 0.000000 0.000000 45
SI.624  107.700  1.00 P
SI.624  112.900  1.00 S
SI.625  108.700  1.00 P
SI.625  114.800  1.00 S
SI.623  109.900  1.00 P
SI.623  116.700  1.00 S
SI.622  112.100  1.00 P
SI.622  120.500  1.00 S
SI.621  114.500  1.00 P
SI.621  124.900  1.00 S
SI.620  117.800  1.00 P
SI.620  130.700  1.00 S
# 2016 8 21 5 14 5.600000 72.020000 129.497000 0.0000 0.000000 0.000000 0.000000 0.000000 46
SI.629  120.000  1.00 P
SI.629  129.900  1.00 S
SI.628  122.300  1.00 P
SI.628  134.000  1.00 S
SI.625  126.600  1.00 P
SI.625  141.600  1.00 S
SI.624  127.400  1.00 P
SI.624  142.700  1.00 S
# 2016 8 21 13 52 4.200000 72.704000 127.197000 15.6000 0.000000 0.000000 0.000000 0.000000 47
SI.628  108.200  1.00 P
SI.628  112.800  1.00 S
# 2016 8 22 0 20 2.400000 71.929000 129.697000 0.0000 0.000000 0.000000 0.000000 0.000000 48
SI.632   87.000  1.00 P
SI.632   93.200  1.00 S
SI.630   87.700  1.00 P
SI.630   94.600  1.00 S
SI.628   96.300  1.00 P
SI.628  109.200  1.00 S
# 2016 8 22 4 5 0.500000 72.701000 125.729000 18.3000 0.000000 0.000000 0.000000 0.000000 49
SI.624  135.000  1.00 P
SI.624  139.500  1.00 S
SI.622  135.100  1.00 P
SI.622  139.800  1.00 S
SI.623  136.500  1.00 P
SI.623  142.200  1.00 S
SI.620  137.200  1.00 P
SI.620  143.400  1.00 S
# 2016 8 22 13 17 4.500000 72.365000 127.084000 16.5000 0.000000 0.000000 0.000000 0.000000 50
SI.628  107.800  1.00 P
SI.628  109.900  1.00 S
SI.627  110.300  1.00 P
SI.627  114.300  1.00 S
SI.624  110.700  1.00 P
SI.624  114.900  1.00 S
SI.625  112.200  1.00 P
SI.625  117.600  1.00 S
SI.623  112.900  1.00 P
SI.623  118.700  1.00 S
SI.630  114.200  1.00 P
SI.630  121.000  1.00 S
SI.622  115.200  1.00 P
SI.622  122.800  1.00 S
SI.626  115.900  1.00 P
SI.626  124.000  1.00 S
# 2016 8 23 1 12 2.800000 71.942000 129.784000 5.1000 0.000000 0.000000 0.000000 0.000000 51
SI.632   88.000  1.00 P
SI.632   94.100  1.00 S
SI.627   96.300  1.00 P
SI.627  108.400  1.00 S
SI.631   98.000  1.00 P
SI.631  111.400  1.00 S
# 2016 8 23 6 51 14.000000 70.933000 129.810000 6.4000 0.000000 0.000000 0.000000 0.000000 52
SI.632   72.500  1.00 P
SI.632   82.300  1.00 S
SI.631   77.400  1.00 P
SI.631   90.700  1.00 S
SI.628   90.200  1.00 P
SI.628  112.900  1.00 S
SI.625   90.500  1.00 P
SI.625  113.400  1.00 S
SI.624   93.900  1.00 P
SI.624  119.400  1.00 S
SI.622   96.200  1.00 P
SI.622  123.400  1.00 S
# 2016 8 24 13 0 2.800000 64.527000 126.907000 23.2000 0.000000 0.000000 0.000000 0.000000 53
SI.631   64.400  1.00 P
SI.631  143.500  1.00 S
SI.626   71.600  1.00 P
SI.626  155.900  1.00 S
SI.621   76.000  1.00 P
SI.621  163.500  1.00 S
SI.623   78.000  1.00 P
SI.623  166.900  1.00 S
# 2016 8 24 15 9 3.400000 71.610000 130.057000 9.7000 0.000000 0.000000 0.000000 0.000000 55
SI.632   92.800  1.00 P
SI.632   97.500  1.00 S
SI.631  103.900  1.00 P
SI.631  116.900  1.00 S
SI.628  109.000  1.00 P
SI.628  125.600  1.00 S
SI.626  110.700  1.00 P
SI.626  128.500  1.00 S
SI.625  111.900  1.00 P
SI.625  130.600  1.00 S
SI.624  113.000  1.00 P
SI.624  132.600  1.00 S
SI.623  114.500  1.00 P
SI.623  135.200  1.00 S
SI.622  116.800  1.00 P
SI.622  139.100  1.00 S
SI.621  117.800  1.00 P
SI.621  140.800  1.00 S
# 2016 8 24 15 9 3.400000 71.607000 130.049000 8.6000 0.000000 0.000000 0.000000 0.000000 55
SI.632   92.700  1.00 P
SI.632   97.500  1.00 S
SI.631  103.900  1.00 P
SI.631  116.800  1.00 S
SI.628  109.100  1.00 P
SI.628  125.700  1.00 S
SI.626  110.700  1.00 P
SI.626  128.500  1.00 S
SI.625  111.800  1.00 P
SI.625  130.500  1.00 S
SI.624  113.100  1.00 P
SI.624  132.700  1.00 S
SI.623  114.600  1.00 P
SI.623  135.300  1.00 S
SI.622  117.400  1.00 P
SI.622  140.000  1.00 S
SI.621  117.800  1.00 P
SI.621  140.700  1.00 S
# 2016 8 25 3 49 11.000000 75.952000 132.497000 6.2000 0.000000 0.000000 0.000000 0.000000 56
SI.628   59.600  1.00 P
SI.628  106.200  1.00 S
SI.630   62.600  1.00 P
SI.630  111.600  1.00 S
SI.623   62.800  1.00 P
SI.623  111.900  1.00 S
SI.625   64.500  1.00 P
SI.625  114.800  1.00 S
# 2016 8 25 7 54 5.100000 72.347000 130.339000 14.4000 0.000000 0.000000 0.000000 0.000000 57
SI.630   64.600  1.00 P
SI.630   74.300  1.00 S
SI.632   68.000  1.00 P
SI.632   80.100  1.00 S
SI.628   69.800  1.00 P
SI.628   83.200  1.00 S
SI.624   74.700  1.00 P
SI.624   91.700  1.00 S
# 2016 8 28 16 31 3.500000 73.273000 125.160000 29.9000 0.000000 0.000000 0.000000 0.000000 58
SI.622  109.200  1.00 P
SI.622  120.800  1.00 S
SI.624  109.700  1.00 P
